,text,pred,rob_label,score
0,"Who will be US ambassador to San Escobar? I'm betting Alex Portnoy, Antonia Shimerda, or Atticus Finch. https://t.co/LsWxMHaxGt",1,POSITIVE,0.99056107
1,"9,000-plus died in battle with Islamic State group for Mosul, according to an @AP analysis of records; at least 3,200 killed by US-led coalition bombardment, 10x what US has acknowledged; great reporting by @sgreports @qabdulzahra @mokhbersahafi @lhinnant https://t.co/43udZB0Tkh",1,POSITIVE,0.99717736
2,"Not just priests.
Not just troop leaders.
Not just teachers.
In my latest deep dive, I reviewed all 1000+ cases filed under NY's Child Victims Act, and noticed dozens of coaches being accused, including some of the biggest names in hoops https://t.co/8geJoLPrjm via @NYTSports",1,POSITIVE,0.99294823
3,"Something good I'd forgotten about: Pauline Kael on her 5 favorite books related to movies, from Salon in 1999 http://t.co/idjTiZG",1,POSITIVE,0.996881
4,“Shitshow” is trending.,0,NEGATIVE,0.99867076
5,On ⁦@foxnation⁩ now. Binge watch all three episodes! ⁦@FoxNews⁩ #fox #foxnation #crime #labor #MYSTERY #teamsters #streaming #StayHome #QuarantineLife #QuarantineAndChill https://t.co/4a27nHzVBg,1,POSITIVE,0.9985542
6,"The most stinging truth of 2020 is seeing how unprepared the majority of newsrooms across the country are to adequately cover this moment. Whether for financial lack, or editorial misdirection, or antiquated views of what a journalist should be. Our industry is Just. Not. Ready.",0,NEGATIVE,0.99506396
7,Tremendous exclusive by @ddknyt and @NYTBen : Saudis choose a fallguy for Khashoggi assassination https://t.co/9cVuAZsQsV,0,NEGATIVE,0.99681515
8,Charles de Gaulle Étoile(s) station métro https://t.co/ML6Wl8D38t,1,POSITIVE,0.98679525
9,"Thank you, @nekesamumbi for inspiring me to find my next appointment #Failure #Greatness https://t.co/fR1PdDR3aJ",1,POSITIVE,0.998529
10,YouTube yanked #isis videos that recruited jihadis. Victims want them to stay up as evidence of war crimes @seldeeb  https://t.co/mtkDb3z5Zz,0,NEGATIVE,0.9950897
11,@kaltwasser_gail of course!,1,POSITIVE,0.99502563
12,Spare a thought for Naomi Osaka. This is not how her dreams went. #usopen,0,NEGATIVE,0.99935114
13,"everything unsettling that is happening right now, in this moment, -- perhaps, in yet another letter you've read -- is about power. who has it, who wants it, how its wielded, and what it means to challenge and upend that.",1,POSITIVE,0.98905146
14,"A Rhode Island institution: Scott MacKay. 
Thank you for all your wisdom and generosity over the years. We'll always have the @projo night shift of the '80s, making cop checks, Attleboro to Westerly. Enjoy the next chapter, my friend. https://t.co/O8H9GWT4UG",1,POSITIVE,0.99859184
15,"Olive oil, hair dryers, trapeze hard hats - EU rules that pushed #Brexit over edge (most not actual rules) @rcasert  https://t.co/JaWguOVBCg",0,NEGATIVE,0.9964399
16,Cute little video from the ambitious openmargin.com but I still fear for note-taking in e-books  http://t.co/zJgljDu,0,NEGATIVE,0.9949322
17,When you wanna read your iPad on the train but you got 3 more braids left .... https://t.co/LBteutgc07,0,NEGATIVE,0.99490434
18,“Heroes and stars out of the most unlikely players...”,1,POSITIVE,0.9972547
19,Kind of convenient for a lot of people who reportedly had reason to fear what he would say. https://t.co/DXPghAmfWD via @NYTimes,0,NEGATIVE,0.98098034
20,Aid group says IS shooting civilians fleeing Fallujah battle  https://t.co/fcn0xvZvcU,0,NEGATIVE,0.9965657
21,More Tina Fey in The New Yorker this week. #crunchygoodness,1,POSITIVE,0.9985038
22,"Serena Williams has one heck of a bedtime story to tell her baby daughter tonight. “Once upon a time, in a land not far, far away, there was a superhero first-time mom who made it to the #Wimbledon final...” (Come to think of it, I’m going to tell my daughter that story, too.)",1,POSITIVE,0.99825525
23,"If not Kim Jong Un, then who? Meet the heirs to North Korea’s throne https://t.co/NpPW1Kxibe",1,POSITIVE,0.9740829
24,Migrants are being dropped in the Sahara desert by the hundreds: https://t.co/RczGpbj4VZ,0,NEGATIVE,0.9959748
25,"A handy household tip for those who need to get zip ties off of your bread, bags of apples, Doritos and other everyday things that one might need to remove zip ties from.  https://t.co/gHA0h839y2",1,POSITIVE,0.998186
26,One dog won't quit eating the floorboards. One has lyme disease. The third is throwing me the stink eye. It's a George Booth cartoon here.,0,NEGATIVE,0.9988481
27,@anniecorreal yes!! I think I even have her funeral service program. Everyone loved Miss Etta on the block,1,POSITIVE,0.9986521
28,Is there any more apt symbolism for Brexit? Theresa May got locked in a German car. https://t.co/hjiaNEYpcp,0,NEGATIVE,0.9978663
29,"Loretta Lynch Should be Under Criminal Investigation
https://t.co/BqdV7Jb1sc",0,NEGATIVE,0.9982423
30,"Kamala Harris owes $1.1 million to vendors from her unsuccessful presidential campaign, according to FEC filings https://t.co/MImsY7whzF",0,NEGATIVE,0.9987137
31,"Mosul still weight down by tons of debris, months later:  ""If they get rid of the rubble and repair the streets, a man can rebuild with his own hands."" https://t.co/K6olCoTymF",0,NEGATIVE,0.9983768
32,"""There was a real clarity of the inappropriateness of the behavior"": Must-read @AmyJHarris and @ByMikeBaker on Epstein's creepy time at Dalton under one headmaster who was AG Barr's father, and another who was later accused of sexual assault https://t.co/ZsbflYQcIv",1,POSITIVE,0.99087703
33,Chuck erupts https://t.co/K4PqKIWQQX,1,POSITIVE,0.98539406
34,Larry Summers downplays his role advising “friend” Joe Biden as progressives protest his involvement in the presumptive Democratic nominee’s campaign. https://t.co/Wn3FOeEQPK,0,NEGATIVE,0.9987525
