user_id,status_id,created_at,created_at_date,pull_date,date_difference,screen_name,text,source,favorite_count,ln_favorite_count,favorite_count_prop,ln_favorite_count_prop,retweet_count,ln_retweet_count,retweet_count_prop,ln_retweet_count_prop,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function.,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,WC_mc,social_engagement_index,buzz,polarity,politically_oriented
x28138045,x820316519137759233,1/14/2017 17:07,1/14/2017,11/19/2020,1405,perezpena,"Who will be US ambassador to San Escobar? I'm betting Alex Portnoy, Antonia Shimerda, or Atticus Finch. https://t.co/LsWxMHaxGt",nytimes,1,0.693147181,0.000711744,0.000711491,0,0,0,0,22,32.58,67.52,2.4,25.77,7.33,36.36,40.91,31.82,13.64,9.09,4.55,4.55,0,0,0,4.55,0,4.55,13.64,0,4.55,0,13.64,0,0,4.55,0,0,0,0,0,0,0,0,9.09,0,0,0,0,9.09,0,0,0,9.09,0,4.55,0,0,0,0,0,0,0,0,0,9.09,4.55,0,0,4.55,0,0,9.09,4.55,0,0,0,0,0,0,0,4.55,0,0,4.55,0,4.55,0,0,0,36.36,9.09,9.09,0,0,4.55,0,0,0,4.55,0,9.09,-2.013990314,0.000355746,0,0,1
x54182985,x943504179317936128,12/20/2017 15:31,12/20/2017,11/19/2020,1065,lhinnant,"9,000-plus died in battle with Islamic State group for Mosul, according to an @AP analysis of records; at least 3,200 killed by US-led coalition bombardment, 10x what US has acknowledged; great reporting by @sgreports @qabdulzahra @mokhbersahafi @lhinnant https://t.co/43udZB0Tkh",ap,0,0,0,0,7,2.079441542,0.00657277,0.006551263,47,98.74,85.63,4.23,4.35,47,25.53,55.32,29.79,6.38,4.26,0,4.26,0,0,0,2.13,2.13,19.15,2.13,0,2.13,0,4.26,4.26,2.13,2.13,8.51,4.26,6.38,2.13,4.26,0,4.26,0,6.38,0,0,0,0,6.38,4.26,2.13,0,0,0,0,0,0,0,0,0,0,0,0,0,12.77,6.38,0,2.13,4.26,0,4.26,2.13,0,6.38,2.13,4.26,0,4.26,0,0,0,2.13,4.26,2.13,0,2.13,0,0,0,34.04,2.13,8.51,0,4.26,0,0,4.26,0,0,0,14.89,22.98600969,0.003275632,1,0,1
x17389023,x1206956379090694145,12/17/2019 15:16,12/17/2019,11/19/2020,338,davidwchen,"Not just priests.
Not just troop leaders.
Not just teachers.
In my latest deep dive, I reviewed all 1000+ cases filed under NY's Child Victims Act, and noticed dozens of coaches being accused, including some of the biggest names in hoops https://t.co/8geJoLPrjm via @NYTSports",nytimes,17,2.890371758,0.050295858,0.049071894,22,3.135494216,0.065088757,0.063058136,48,88.46,14.87,84.47,4.56,12,25,72.92,37.5,4.17,4.17,4.17,0,0,0,0,0,2.08,14.58,2.08,6.25,2.08,6.25,4.17,6.25,4.17,0,4.17,4.17,2.08,0,2.08,0,0,0,6.25,0,0,0,0,12.5,2.08,0,0,2.08,2.08,6.25,0,0,0,0,0,0,0,0,0,18.75,2.08,2.08,16.67,0,0,2.08,0,0,14.58,0,12.5,2.08,6.25,2.08,0,0,2.08,0,2.08,0,2.08,0,0,0,25,8.33,6.25,0,0,0,0,0,0,2.08,0,8.33,23.98600969,0.056065015,0,0,0
x19714682,x104294140883374080,8/18/2011 20:50,8/18/2011,11/19/2020,3381,DwightGarner,"Something good I'd forgotten about: Pauline Kael on her 5 favorite books related to movies, from Salon in 1999 http://t.co/idjTiZG",nytimes,2,1.098612289,0.000591541,0.000591366,3,1.386294361,0.000887311,0.000886918,24,93.26,66.17,7.84,99,24,25,62.5,33.33,12.5,8.33,4.17,0,0,4.17,0,4.17,0,20.83,4.17,4.17,0,0,8.33,4.17,0,0,8.33,0,8.33,8.33,0,0,0,0,8.33,0,0,4.17,0,8.33,4.17,0,0,4.17,0,0,0,0,0,0,0,0,0,0,0,4.17,0,0,0,4.17,0,4.17,0,0,8.33,0,8.33,0,4.17,8.33,0,0,0,0,4.17,0,4.17,0,0,0,25,4.17,4.17,4.17,0,0,0,0,0,4.17,0,8.33,-0.013990314,0.000739142,0,1,0
x262937086,x1311150543788814337,9/30/2020 3:47,9/30/2020,11/19/2020,50,DanBarryNYT,“Shitshow” is trending.,nytimes,52,3.970291914,1.04,0.712949808,6,1.945910149,0.12,0.113328685,3,18.82,1,1,1,3,66.67,66.67,33.33,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,33.33,0,0,0,0,0,33.33,0,33.33,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,33.33,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,33.33,33.33,0,0,0,0,100,33.33,0,0,0,0,0,0,66.67,0,0,0,-21.01399031,0.413139247,0,0,0
x167122787,x1277380854436724736,6/28/2020 23:18,6/28/2020,11/19/2020,144,EricShawnTV,On ⁦@foxnation⁩ now. Binge watch all three episodes! ⁦@FoxNews⁩ #fox #foxnation #crime #labor #MYSTERY #teamsters #streaming #StayHome #QuarantineLife #QuarantineAndChill https://t.co/4a27nHzVBg,foxnews,5,1.791759469,0.034722222,0.034133006,2,1.098612289,0.013888889,0.013793322,25,93.26,65.56,1.59,25.77,8.33,44,40,8,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,4,4,0,0,0,0,0,0,4,0,0,0,0,8,0,0,0,4,4,0,4,4,0,0,4,0,4,0,4,4,4,4,0,0,0,0,8,0,8,0,4,4,8,4,0,0,0,0,4,0,4,0,0,0,68,8,0,0,0,0,4,0,0,0,0,56,0.986009686,0.023963164,1,0,0
x246646501,x1268382736714268672,6/4/2020 3:23,6/4/2020,11/19/2020,168,magancrane,"The most stinging truth of 2020 is seeing how unprepared the majority of newsrooms across the country are to adequately cover this moment. Whether for financial lack, or editorial misdirection, or antiquated views of what a journalist should be. Our industry is Just. Not. Ready.",ap,0,0,0,0,1489,7.306531399,8.863095238,2.288800038,45,75.9,25.24,4.97,94.19,9,28.89,82.22,53.33,6.67,2.22,0,2.22,0,0,0,4.44,8.89,13.33,11.11,4.44,8.89,2.22,15.56,2.22,2.22,6.67,2.22,4.44,4.44,4.44,0,0,0,0,2.22,0,0,0,0,20,0,2.22,4.44,6.67,2.22,8.89,4.44,4.44,0,0,0,0,0,0,0,6.67,2.22,2.22,0,0,2.22,0,11.11,0,6.67,0,4.44,2.22,6.67,0,0,2.22,0,0,0,0,0,0,0,0,15.56,11.11,4.44,0,0,0,0,0,0,0,0,0,20.98600969,1.144400019,1,0,1
x28138045,x1053201340774502402,10/19/2018 8:29,10/19/2018,11/19/2020,762,perezpena,Tremendous exclusive by @ddknyt and @NYTBen : Saudis choose a fallguy for Khashoggi assassination https://t.co/9cVuAZsQsV,nytimes,9,2.302585093,0.011811024,0.011741818,11,2.48490665,0.014435696,0.014332493,18,98.87,50,1,25.77,18,33.33,38.89,22.22,0,0,0,0,0,0,0,0,5.56,11.11,0,0,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,5.56,0,5.56,0,0,0,33.33,5.56,0,5.56,0,0,0,0,0,0,0,22.22,-6.013990314,0.013037156,0,0,1
x54182985,x1018758173530951680,7/16/2018 7:24,7/16/2018,11/19/2020,857,lhinnant,Charles de Gaulle Étoile(s) station métro https://t.co/ML6Wl8D38t,ap,7,2.079441542,0.008168028,0.00813485,5,1.791759469,0.005834306,0.005817352,12,93.26,50,1,25.77,12,25,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,8.33,0,0,0,41.67,8.33,0,0,0,0,0,0,0,0,16.67,16.67,-12.01399031,0.006976101,0,0,1
x15770911,x906439359074902016,9/9/2017 8:49,9/9/2017,11/19/2020,1167,nekesamumbi,"Thank you, @nekesamumbi for inspiring me to find my next appointment #Failure #Greatness https://t.co/fR1PdDR3aJ",ap,0,0,0,0,1,0.693147181,0.000856898,0.000856531,18,86.43,50,87.07,99,18,33.33,66.67,27.78,16.67,16.67,11.11,0,5.56,0,0,0,0,11.11,0,0,0,0,11.11,5.56,0,0,0,0,22.22,16.67,5.56,0,0,5.56,5.56,0,0,0,0,11.11,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,5.56,11.11,0,5.56,0,11.11,0,5.56,0,0,5.56,5.56,0,0,0,0,0,5.56,0,5.56,0,0,0,38.89,5.56,5.56,0,0,0,0,0,0,0,0,27.78,-6.013990314,0.000428266,0,1,0
